,date,normalized_downstream_flux
0,2023-11-06,-0.05768755273477103
1,2023-11-07,-0.044387062626559254
2,2023-11-08,-0.622164731689474
3,2023-11-09,-0.03721683956410713
4,2023-11-10,0.3898219416057326
5,2023-11-11,-0.10651075099207943
6,2023-11-12,-0.7924438457909047
7,2023-11-13,-0.626871901028182
8,2023-11-14,-0.15692125053801703
9,2023-11-15,0.2135220295129293
10,2023-11-16,1.6794221368303661
11,2023-11-17,0.8530949797781935
12,2023-11-18,1.5364555517988847
13,2023-11-19,0.5667239334976711
14,2023-11-20,-0.24449649404887852
